episode,reward,loss
0,-1054.6737,0.0000
1,-1921.6015,0.0000
2,-2019.0717,0.0000
3,-1459.5211,0.0000
4,-1645.2099,0.0000
5,-1497.7669,0.0000
6,-1648.9838,0.0000
7,-1555.8920,0.0000
8,-1593.7101,0.0000
9,-1604.5595,0.0000
10,-1666.9090,0.0000
11,-1485.0732,0.0000
12,-3383.3805,0.0000
13,-3643.5990,0.0000
14,-1027.9590,0.0000
15,-1344.5729,0.0000
16,-1024.6782,0.0000
17,-1012.2021,0.0000
18,-974.8788,0.0000
19,-961.4089,0.0000
20,-3682.0872,0.0000
21,-3368.6415,0.0000
22,-966.0660,0.0000
23,-1168.2240,0.0000
24,-959.3951,0.0000
25,-949.8994,0.0000
26,-953.9798,0.0000
27,-931.0877,0.0000
28,-1005.4727,0.0000
29,-969.5565,0.0000
30,-972.1549,0.0000
31,-1304.3798,0.0000
32,-1613.2376,0.0000
33,-1652.4879,0.0000
34,-974.3162,0.0000
35,-1212.8509,0.0000
36,-1398.5548,0.0000
37,-1781.8169,0.0000
38,-1543.6660,0.0000
39,-3452.6286,0.0000
40,-1014.2072,0.0000
41,-986.4753,0.0000
42,-1051.3796,0.0000
43,-935.2241,0.0000
44,-944.0204,0.0000
45,-970.8971,0.0000
46,-991.1433,0.0000
47,-944.1756,0.0000
48,-942.4978,0.0000
49,-1084.2226,0.0000
50,-996.6034,0.0000
51,-935.2791,0.0000
52,-979.9373,0.0000
53,-982.7261,0.0000
54,-949.8949,0.0000
55,-1006.5828,0.0000
56,-960.4174,0.0000
57,-958.7614,0.0000
58,-956.6935,0.0000
59,-970.4712,0.0000
60,-950.7193,0.0000
61,-985.5750,0.0000
62,-958.8049,0.0000
63,-1095.0591,0.0000
64,-955.8655,0.0000
65,-1222.5422,0.0000
66,-1020.4185,0.0000
67,-997.5459,0.0000
68,-960.1926,0.0000
69,-974.6188,0.0000
70,-958.4743,0.0000
71,-959.8646,0.0000
72,-1032.9294,0.0000
73,-964.3543,0.0000
74,-1072.0313,0.0000
75,-927.9189,0.0000
76,-952.6820,0.0000
77,-1031.5332,0.0000
78,-921.2530,0.0000
79,-970.2877,0.0000
80,-966.7440,0.0000
81,-937.5593,0.0000
82,-950.4871,0.0000
83,-941.4486,0.0000
84,-906.8270,0.0000
85,-939.1064,0.0000
86,-940.8002,0.0000
87,-907.5708,0.0000
88,-925.9937,0.0000
89,-948.2176,0.0000
90,-957.9894,0.0000
91,-913.2491,0.0000
92,-939.9097,0.0000
93,-938.1050,0.0000
94,-1053.7785,0.0000
95,-3354.9492,0.0000
96,-965.8903,0.0000
97,-957.8007,0.0000
98,-980.8347,0.0000
99,-945.4882,0.0000
100,-956.9533,0.0000
101,-953.1440,0.0000
102,-920.4420,0.0000
103,-1052.7289,0.0000
104,-1010.0153,0.0000
105,-953.1202,0.0000
106,-973.5207,0.0000
107,-3611.8418,0.0000
108,-3734.8886,0.0000
109,-918.3370,0.0000
110,-1632.7262,0.0000
111,-3345.8353,0.0000
112,-3388.1530,0.0000
113,-1083.7846,0.0000
114,-1169.4116,0.0000
115,-3385.9199,0.0000
116,-3381.3672,0.0000
117,-3509.1208,0.0000
118,-3357.7021,0.0000
119,-3360.4685,0.0000
120,-3388.9964,0.0000
121,-3386.4480,0.0000
122,-1706.3933,0.0000
123,-1862.3338,0.0000
124,-1453.0431,0.0000
125,-1816.9805,0.0000
126,-1365.2149,0.0000
127,-1819.7434,0.0000
128,-3457.6741,0.0000
129,-958.6311,0.0000
130,-940.3015,0.0000
131,-961.2824,0.0000
132,-957.6669,0.0000
133,-957.7356,0.0000
134,-905.6342,0.0000
135,-934.1518,0.0000
136,-938.5157,0.0000
137,-918.5325,0.0000
138,-944.6087,0.0000
139,-917.3433,0.0000
140,-954.8746,0.0000
141,-954.1551,0.0000
142,-964.9892,0.0000
143,-957.9029,0.0000
144,-953.2592,0.0000
145,-926.1581,0.0000
146,-899.1599,0.0000
147,-900.5858,0.0000
148,-955.3027,0.0000
149,-958.3472,0.0000
150,-961.0553,0.0000
151,-955.3227,0.0000
152,-944.2930,0.0000
153,-899.3989,0.0000
154,-932.5387,0.0000
155,-942.8325,0.0000
156,-927.1239,0.0000
157,-953.6718,0.0000
158,-938.9997,0.0000
159,-956.0064,0.0000
160,-914.3333,0.0000
161,-931.3111,0.0000
162,-951.6257,0.0000
163,-946.1281,0.0000
164,-929.0321,0.0000
165,-959.1988,0.0000
166,-951.0531,0.0000
167,-957.3983,0.0000
168,-922.8679,0.0000
169,-933.2744,0.0000
170,-949.9895,0.0000
171,-949.3442,0.0000
172,-944.7451,0.0000
173,-953.5891,0.0000
174,-915.1172,0.0000
175,-912.5018,0.0000
176,-955.1458,0.0000
177,-909.7097,0.0000
178,-934.2865,0.0000
179,-956.0949,0.0000
180,-908.2752,0.0000
181,-954.9943,0.0000
182,-902.8805,0.0000
183,-935.9738,0.0000
184,-961.8350,0.0000
185,-947.5498,0.0000
186,-953.2323,0.0000
187,-894.7811,0.0000
188,-963.9100,0.0000
189,-936.0985,0.0000
190,-956.2224,0.0000
191,-923.4770,0.0000
192,-960.4860,0.0000
193,-919.5318,0.0000
194,-907.8318,0.0000
195,-1007.6401,0.0000
196,-984.4577,0.0000
197,-942.4226,0.0000
198,-1037.0433,0.0000
199,-3362.2093,0.0000
200,-3377.2584,0.0000
201,-3371.4930,0.0000
202,-3550.5659,0.0000
203,-3380.5491,0.0000
204,-3383.8822,0.0000
205,-3386.2492,0.0000
206,-3386.1204,0.0000
207,-3382.2782,0.0000
208,-3384.8453,0.0000
209,-3381.7240,0.0000
210,-3384.9045,0.0000
211,-3387.3532,0.0000
212,-3386.9124,0.0000
213,-3384.8192,0.0000
